Compound_ID,SMILES,Input_Canonical_SMILES,Canonical_SMILES,Prep_Changed,Prep_SaltsStripped,Prep_Uncharged,Prep_Reionized,Prep_TautomerChanged,Prep_StereoStatus,Prep_UnassignedChiral,Prep_UnassignedStereoBonds,Prep_Notes,Ion_Mode,Ion_pH,Ion_State,Ion_NetCharge_Est,Ion_NetCharge_Round,Ion_FracProtonatedBase,Ion_FracDeprotonatedAcid,Ion_LogD_pH_Est,Tautomer_Mode,Tautomer_Count,Tautomer_Selected_SMILES,Tautomer_TopK_SMILES,Tautomer_Changed,Stereo_Mode,Stereo_IsomerCount,Stereo_Selected_SMILES,Stereo_TopK_SMILES,Stereo_Changed,Stereo_Notes,Calc_Base_SMILES,Protomer_Mode,Protomer_pH_Min,Protomer_pH_Max,Protomer_Precision,Protomer_MaxVariants,Protomer_Count,Protomer_Selected_SMILES,Protomer_Selected_Charge,Protomer_Target_Charge,Protomer_TopK_SMILES,Protomer_CalcOnProtomer,Protomer_Notes,Calc_Canonical_SMILES,CNS_MPO,CNS_MPO_Class,BBB_Likely,Bioavail_Score,Veber_Pass,Egan_Pass,Ghose_Pass,Muegge_Pass,RO5_Pass,RO5_Violations,RO3_Pass,RO3_Violations,PAINS,PAINS_Type,BRENK,NIH,ZINC,MedChem_Alerts,Tox_Risk,Tox_Total_Alerts,Met_Stability,Met_Total_Sites,hERG_Risk,CYP_Total_Inhibition,Sol_ESOL_LogS,Sol_ESOL_Class,Perm_GI_Absorption,Perm_Pgp_Likelihood,PPB_Class,CL_Risk,T_half_Est,F_Class,MolWt,LogP,cLogD_7.4,TPSA,HBD,HBA,RotBonds,Rings,AromaticRings,FractionCSP3,SA_Score,SA_Class,Complexity_BertzCT,Complexity_BalabanJ,Complexity_HallKierAlpha,Complexity_NumSpiroAtoms,Complexity_NumBridgeheadAtoms,Complexity_NumStereoCenters,Complexity_NumUnspecifiedStereoCenters,Complexity_NumHeteroAtoms,Complexity_AromaticAtomFrac,pKa_Basic,pKa_Acidic,QED,Dev_Score,Dev_Class,Dev_Risk_Class,Dev_Risk_Burden,Dev_BasePoints,Dev_GSK_4_400_Pass,Dev_Pfizer_3_75_Pass,Dev_GoldenTriangle_Pass,Dev_Solubility_Risk,Dev_Flags,CL_SoftSpots,CYP2C9_Inhibitor,CYP2D6_Inhibitor,CYP3A4_Inhibitor,CYP_MBI_Risk,F_Est_%,F_Score,HeavyAtoms,Lead_BEI,Lead_LE,Lead_LELP,Lead_LELP_Quality,Lead_LE_Quality,Lead_LLE,Lead_LLE_Quality,Lead_SEI,MPO_HBD,MPO_LogD,MPO_LogP,MPO_MW,MPO_TPSA,MPO_pKa,Met_Acetylation,Met_Glucuronidation,Met_Methylation,Met_Sulfation,Met_allylic_carbon,Met_amide,Met_aromatic_methoxy,Met_benzylic_carbon,Met_carboxylic_acid,Met_ester,Met_n_ethyl,Met_n_methyl,Met_phenol,PPB_Est_%,PPB_FreeEst_%,Perm_Caco2_Class,Perm_Caco2_LogPapp,Perm_PAMPA_Class,Perm_PAMPA_LogPe,Perm_Skin_LogKp,RO3_HBA,RO3_HBD,RO3_LogP,RO3_MW,RO3_RotBonds,RO3_TPSA,RO5_HBA,RO5_HBD,RO5_LogP,RO5_MW,Sol_ESOL_mg_L,Tox_acid_anhydride,Tox_acyl_halide,Tox_aniline,Tox_azide,Tox_aziridine,Tox_catechol,Tox_epoxide,Tox_furan,Tox_hydrazine,Tox_isocyanate,Tox_michael_acceptor,Tox_n_nitroso,Tox_nitro_aromatic,Tox_quinone,Tox_sulfonyl_halide,Tox_thiophene,Tox_thiourea,Vd_Class,Vd_Est_L_kg,hERG_Alerts,hERG_aromatic_ring,hERG_basic_nitrogen,hERG_tertiary_amine,pKa_Type
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False,False,False,False,False,None,0,0,,heuristic,7.4,neutral,0.0,0,,,-1.029,prep-canonical,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False,keep,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False,,Cn1c(=O)c2c(ncn2C)n(C)c1=O,none,6.8,8.0,1.0,64,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O,,,Cn1c(=O)c2c(ncn2C)n(C)c1=O,False,,Cn1c(=O)c2c(ncn2C)n(C)c1=O,5.56,Excellent,True,2,True,True,False,False,True,0,False,1,False,,False,False,False,0,Low,0,High,0,Low,0,-1.876,Soluble,High,Low,Medium,Low,Long (>12h),High,194.194,-1.029,-1.029,61.82,0,6,0,2,2,0.375,2.298,Easy,616.529,3.221,-1.85,0,0,0,0,6,0.643,,,0.5385,4,High,Low,0,4,True,True,False,Low,,0,False,False,False,False,>70,4,14,25.747,0.357,-2.882,Good,Good,6.029,Good,8.088,1.0,1.0,1.0,1.0,0.564,1.0,False,False,False,False,0,0,0,0,0,0,0,0,0,81.9,18.1,Low,-6.685,Low,-5.758,-4.615,False,True,True,True,True,False,True,True,True,True,2586.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low (plasma confined),0.5,1,True,False,False,neutral
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,False,False,False,False,False,None,0,0,,heuristic,7.4,anionic,-0.999,-1,,0.999,-1.59,prep-canonical,1,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,False,keep,1,CC(=O)Oc1ccccc1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,False,,CC(=O)Oc1ccccc1C(=O)O,none,6.8,8.0,1.0,64,1,CC(=O)Oc1ccccc1C(=O)O,,,CC(=O)Oc1ccccc1C(=O)O,False,,CC(=O)Oc1ccccc1C(=O)O,5.36,Excellent,True,2,True,True,False,False,True,0,True,0,False,,True,False,False,1,Low,0,High,2,Low,1,-2.39,Moderately Soluble,High,Low,Medium,Low,Long (>12h),High,180.159,1.31,-1.59,63.6,1,3,2,1,1,0.111,1.58,Easy,343.223,3.044,-1.84,0,0,0,0,4,0.462,,4.5,0.5501,3,Medium,Low,1,4,True,True,False,Low,,2,True,False,False,False,>70,4,13,27.753,0.385,3.406,Good,Good,3.69,Poor,7.862,0.833,1.0,1.0,1.0,0.528,1.0,False,True,False,False,0,0,0,0,1,1,0,0,0,88.9,11.1,Low,-5.446,High,-4.719,-2.869,True,True,True,True,True,False,True,True,True,True,733.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,0.76,1,True,False,False,acidic
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,False,False,False,False,False,Undefined,1,0,,heuristic,7.4,anionic,-0.999,-1,,0.999,0.173,prep-canonical,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,False,keep,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,False,,CC(C)Cc1ccc(C(C)C(=O)O)cc1,none,6.8,8.0,1.0,64,1,CC(C)Cc1ccc(C(C)C(=O)O)cc1,,,CC(C)Cc1ccc(C(C)C(=O)O)cc1,False,,CC(C)Cc1ccc(C(C)C(=O)O)cc1,5.8,Excellent,True,3,True,True,False,True,True,0,False,2,False,,False,False,False,0,Low,0,High,2,Low,1,-3.531,Moderately Soluble,High,Low,Medium,Medium,Medium (4-12h),High,206.285,3.073,0.173,37.3,1,1,4,1,1,0.462,2.192,Easy,324.894,2.759,-1.31,0,0,1,1,2,0.4,,4.5,0.8216,2,Medium,Low,2,4,True,False,False,Medium,,2,True,False,False,False,>70,4,15,24.238,0.333,9.22,Good,Good,1.927,Poor,13.405,0.833,1.0,0.963,1.0,1.0,1.0,False,True,False,False,0,0,0,1,1,0,0,0,0,94.2,5.8,High,-4.161,High,-3.715,-1.776,True,True,False,True,False,True,True,True,True,True,60.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,1.11,1,True,False,False,acidic
Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,False,False,False,False,False,None,0,0,,heuristic,7.4,cationic,0.975,1,0.975,,0.973,prep-canonical,1,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,False,keep,1,CCN(CC)CC(=O)Nc1c(C)cccc1C,CCN(CC)CC(=O)Nc1c(C)cccc1C,False,,CCN(CC)CC(=O)Nc1c(C)cccc1C,none,6.8,8.0,1.0,64,1,CCN(CC)CC(=O)Nc1c(C)cccc1C,,,CCN(CC)CC(=O)Nc1c(C)cccc1C,False,,CCN(CC)CC(=O)Nc1c(C)cccc1C,5.33,Excellent,True,3,True,True,False,True,True,0,False,1,False,,False,False,False,0,Medium,1,Medium,5,Low,1,-3.331,Moderately Soluble,High,Low,Medium,Medium,Medium (4-12h),High,234.343,2.584,0.973,32.34,1,2,5,1,1,0.5,1.811,Easy,363.559,2.68,-1.35,0,0,0,0,3,0.353,9.0,,0.849,2,Medium,Medium,3,5,True,True,False,Medium,,5,False,True,False,False,>70,4,17,21.336,0.294,8.785,Good,Poor,2.416,Poor,15.461,0.833,1.0,1.0,1.0,1.0,0.5,False,False,False,False,0,1,0,2,0,0,2,0,0,92.8,7.2,High,-4.395,High,-3.896,-2.295,True,True,True,True,False,True,True,True,True,True,109.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,1.02,3,True,True,True,basic
Diazepam,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,False,False,False,False,False,None,0,0,,heuristic,7.4,neutral,0.0,0,,,3.154,prep-canonical,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,False,keep,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,False,,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,none,6.8,8.0,1.0,64,1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,,,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,False,,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,5.35,Excellent,True,4,True,True,True,True,True,0,False,1,False,,False,False,False,0,Low,0,High,2,Low,0,-5.006,Poorly Soluble,High,Low,Medium,Medium,Medium (4-12h),High,284.746,3.154,3.154,32.67,0,2,1,3,2,0.125,2.121,Easy,694.878,2.23,-2.13,0,0,0,0,4,0.6,,,0.7916,1,Low,Medium,3,4,True,False,False,High,solubility_high_risk,2,False,False,False,False,>70,4,20,17.56,0.25,12.615,Poor,Poor,1.846,Poor,15.305,1.0,0.423,0.923,1.0,1.0,1.0,False,False,False,False,0,1,0,0,0,0,0,1,0,94.5,5.5,High,-3.967,High,-3.642,-2.198,True,True,False,True,True,True,True,True,True,True,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,1.13,1,True,False,False,neutral
