Compound_ID,CNS_MPO,RO5_Pass,Tox_Risk,hERG_Risk,CNS_MPO_Class,BBB_Likely,MPO_MW,MPO_LogP,MPO_LogD,MPO_TPSA,MPO_HBD,MPO_pKa,cLogD_7.4,pKa_Basic,pKa_Acidic,MolWt,LogP,TPSA,HBD,RO5_Violations,RO5_MW,RO5_LogP,RO5_HBD,Decision_Queue,Decision_Rationale,Decision_Next_Action,Decision_Confidence,Decision_Evidence_Summary,Decision_Hypothesis,Decision_Minimal_Test_Set,Decision_Minimal_Analog_Set
Ibuprofen,5.8,True,Low,Low,Excellent,True,1.0,0.963,1.0,1.0,0.833,1.0,0.173,,4.5,206.285,3.073,37.3,1,0,True,True,True,test_next,Balanced CNS-leaning shortlist with enough signal quality to justify additional testing. Why: CNS_MPO=5.8 meets >= 4.5; RO5_Pass=True matches True; Tox_Risk=Low avoids High; hERG_Risk=Low avoids High.,Prioritize for CNS-focused follow-up assays and confirmatory profiling.,medium,"calculated: CNS_MPO, Lead_LLE, Tox_Risk, hERG_Risk",The first discriminating question is whether measured potency actually supports the current computed balance.,primary potency confirmation; kinetic/equilibrium solubility panel; Caco-2 or PAMPA permeability check,Hold a broad analog round for now; reserve 2-3 follow-up analogs for whichever test result best resolves the current question.
Caffeine,5.56,True,Low,Low,Excellent,True,1.0,1.0,1.0,0.564,1.0,1.0,-1.029,,,194.194,-1.029,61.82,0,0,True,True,True,test_next,Balanced CNS-leaning shortlist with enough signal quality to justify additional testing. Why: CNS_MPO=5.56 meets >= 4.5; RO5_Pass=True matches True; Tox_Risk=Low avoids High; hERG_Risk=Low avoids High.,Prioritize for CNS-focused follow-up assays and confirmatory profiling.,medium,"calculated: CNS_MPO, Lead_LLE, Tox_Risk, hERG_Risk",The first discriminating question is whether measured potency actually supports the current computed balance.,primary potency confirmation; kinetic/equilibrium solubility panel; Caco-2 or PAMPA permeability check,Hold a broad analog round for now; reserve 2-3 follow-up analogs for whichever test result best resolves the current question.
Aspirin,5.36,True,Low,Low,Excellent,True,1.0,1.0,1.0,0.528,0.833,1.0,-1.59,,4.5,180.159,1.31,63.6,1,0,True,True,True,test_next,Balanced CNS-leaning shortlist with enough signal quality to justify additional testing. Why: CNS_MPO=5.36 meets >= 4.5; RO5_Pass=True matches True; Tox_Risk=Low avoids High; hERG_Risk=Low avoids High.,Prioritize for CNS-focused follow-up assays and confirmatory profiling.,medium,"calculated: CNS_MPO, Lead_LLE, Tox_Risk, hERG_Risk",The first discriminating question is whether measured potency actually supports the current computed balance.,primary potency confirmation; kinetic/equilibrium solubility panel; Caco-2 or PAMPA permeability check; orthogonal artifact / alert counterscreens,Hold a broad analog round for now; reserve 2-3 follow-up analogs for whichever test result best resolves the current question.
Lidocaine,5.33,True,Medium,Low,Excellent,True,1.0,1.0,1.0,1.0,0.833,0.5,1.324,9.0,,249.358,2.935,35.58,1,0,True,True,True,test_next,Balanced CNS-leaning shortlist with enough signal quality to justify additional testing. Why: CNS_MPO=5.33 meets >= 4.5; RO5_Pass=True matches True; Tox_Risk=Medium avoids High; hERG_Risk=Low avoids High.,Prioritize for CNS-focused follow-up assays and confirmatory profiling.,medium,"calculated: CNS_MPO, Lead_LLE, Tox_Risk, hERG_Risk",The first discriminating question is whether measured potency actually supports the current computed balance.,primary potency confirmation; kinetic/equilibrium solubility panel; Caco-2 or PAMPA permeability check; orthogonal artifact / alert counterscreens,Hold a broad analog round for now; reserve 2-3 follow-up analogs for whichever test result best resolves the current question.
Diazepam,4.69,True,Low,Low,Good,True,1.0,0.596,0.096,1.0,1.0,1.0,3.807,,,319.191,3.807,32.67,0,0,True,True,True,test_next,Balanced CNS-leaning shortlist with enough signal quality to justify additional testing. Why: CNS_MPO=4.69 meets >= 4.5; RO5_Pass=True matches True; Tox_Risk=Low avoids High; hERG_Risk=Low avoids High.,Prioritize for CNS-focused follow-up assays and confirmatory profiling.,medium,"calculated: CNS_MPO, Lead_LLE, Tox_Risk, hERG_Risk",The first discriminating question is whether measured potency actually supports the current computed balance.,primary potency confirmation; kinetic/equilibrium solubility panel; Caco-2 or PAMPA permeability check,Hold a broad analog round for now; reserve 2-3 follow-up analogs for whichever test result best resolves the current question.
